typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","M","20230101","2023","1","202301","360","IDN","Indonesia","M","Import","410","KOR","Rep. of Korea","0","W00","World","H6","HS","true","2713","Petroleum coke, petroleum bitumen; other residues of petroleum oils or oils obtained from bituminous minerals","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","5152100","false","8","kg","5152100","false","5152100","false","0","false","2833652",,"2833652","0","false","true",
"C","M","20230101","2023","1","202301","360","IDN","Indonesia","M","Import","458","MYS","Malaysia","0","W00","World","H6","HS","true","2713","Petroleum coke, petroleum bitumen; other residues of petroleum oils or oils obtained from bituminous minerals","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","17427450","false","8","kg","17427450","false","17427450","false","0","false","9659022",,"9659022","0","false","true",
"C","M","20230101","2023","1","202301","360","IDN","Indonesia","M","Import","702","SGP","Singapore","0","W00","World","H6","HS","true","2713","Petroleum coke, petroleum bitumen; other residues of petroleum oils or oils obtained from bituminous minerals","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","85742400","false","8","kg","85742400","false","85742400","false","0","false","47556552",,"47556552","0","false","true",
"C","M","20230101","2023","1","202301","360","IDN","Indonesia","M","Import","784","ARE","United Arab Emirates","0","W00","World","H6","HS","true","2713","Petroleum coke, petroleum bitumen; other residues of petroleum oils or oils obtained from bituminous minerals","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","5361360","false","8","kg","5361360","false","5361360","false","0","false","2468787",,"2468787","0","false","true",
"C","M","20230101","2023","1","202301","360","IDN","Indonesia","M","Import","792","TUR","Türkiye","0","W00","World","H6","HS","true","2713","Petroleum coke, petroleum bitumen; other residues of petroleum oils or oils obtained from bituminous minerals","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","501610","false","8","kg","501610","false","501610","false","0","false","233248",,"233248","0","false","true",
"C","M","20230101","2023","1","202301","360","IDN","Indonesia","M","Import","842","USA","USA","0","W00","World","H6","HS","true","2713","Petroleum coke, petroleum bitumen; other residues of petroleum oils or oils obtained from bituminous minerals","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","163296","false","8","kg","163296","false","163296","false","0","false","210238",,"210238","0","false","true",
"C","M","20230101","2023","1","202301","360","IDN","Indonesia","M","Import","0","W00","World","0","W00","World","H6","HS","true","2713","Petroleum coke, petroleum bitumen; other residues of petroleum oils or oils obtained from bituminous minerals","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","115692036","false","8","kg","115692036","false","115692036","false","0","false","63674023",,"63674023","0","false","true",
"C","M","20230101","2023","1","202301","360","IDN","Indonesia","M","Import","208","DNK","Denmark","0","W00","World","H6","HS","true","2713","Petroleum coke, petroleum bitumen; other residues of petroleum oils or oils obtained from bituminous minerals","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1520","false","8","kg","1520","false","1520","false","0","false","4147",,"4147","0","false","true",
"C","M","20230101","2023","1","202301","360","IDN","Indonesia","M","Import","364","IRN","Iran","0","W00","World","H6","HS","true","2713","Petroleum coke, petroleum bitumen; other residues of petroleum oils or oils obtained from bituminous minerals","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1184200","false","8","kg","1184200","false","1184200","false","0","false","549411",,"549411","0","false","true",
"C","M","20230101","2023","1","202301","360","IDN","Indonesia","M","Import","392","JPN","Japan","0","W00","World","H6","HS","true","2713","Petroleum coke, petroleum bitumen; other residues of petroleum oils or oils obtained from bituminous minerals","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","158100","false","8","kg","158100","false","158100","false","0","false","158966",,"158966","0","false","true",
"C","M","20230101","2023","1","202301","360","IDN","Indonesia","M","Import","764","THA","Thailand","0","W00","World","H6","HS","true","2712","Petroleum jelly; paraffin wax, micro-crystalline petroleum wax, slack wax, ozokerite, lignite wax, peat wax, other mineral waxes, similar products obtained by synthesis, other processes; coloured or not","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3000","false","8","kg","3000","false","3000","false","0","false","13200",,"13200","0","false","true",
"C","M","20230101","2023","1","202301","360","IDN","Indonesia","M","Import","784","ARE","United Arab Emirates","0","W00","World","H6","HS","true","2712","Petroleum jelly; paraffin wax, micro-crystalline petroleum wax, slack wax, ozokerite, lignite wax, peat wax, other mineral waxes, similar products obtained by synthesis, other processes; coloured or not","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","28000","false","8","kg","28000","false","28000","false","0","false","39900",,"39900","0","false","true",
"C","M","20230101","2023","1","202301","360","IDN","Indonesia","M","Import","842","USA","USA","0","W00","World","H6","HS","true","2712","Petroleum jelly; paraffin wax, micro-crystalline petroleum wax, slack wax, ozokerite, lignite wax, peat wax, other mineral waxes, similar products obtained by synthesis, other processes; coloured or not","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3676","false","8","kg","3676","false","3676","false","0","false","34237",,"34237","0","false","true",
"C","M","20230101","2023","1","202301","360","IDN","Indonesia","M","Import","276","DEU","Germany","0","W00","World","H6","HS","true","2712","Petroleum jelly; paraffin wax, micro-crystalline petroleum wax, slack wax, ozokerite, lignite wax, peat wax, other mineral waxes, similar products obtained by synthesis, other processes; coloured or not","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","13249","false","8","kg","13249","false","13249","false","0","false","44834",,"44834","0","false","true",
"C","M","20230101","2023","1","202301","360","IDN","Indonesia","M","Import","344","HKG","China, Hong Kong SAR","0","W00","World","H6","HS","true","2712","Petroleum jelly; paraffin wax, micro-crystalline petroleum wax, slack wax, ozokerite, lignite wax, peat wax, other mineral waxes, similar products obtained by synthesis, other processes; coloured or not","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4400","false","8","kg","4400","false","4400","false","0","false","18431",,"18431","0","false","true",
"C","M","20230101","2023","1","202301","360","IDN","Indonesia","M","Import","380","ITA","Italy","0","W00","World","H6","HS","true","2712","Petroleum jelly; paraffin wax, micro-crystalline petroleum wax, slack wax, ozokerite, lignite wax, peat wax, other mineral waxes, similar products obtained by synthesis, other processes; coloured or not","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","10038","false","8","kg","10038","false","10038","false","0","false","38193",,"38193","0","false","true",
"C","M","20230101","2023","1","202301","360","IDN","Indonesia","M","Import","392","JPN","Japan","0","W00","World","H6","HS","true","2712","Petroleum jelly; paraffin wax, micro-crystalline petroleum wax, slack wax, ozokerite, lignite wax, peat wax, other mineral waxes, similar products obtained by synthesis, other processes; coloured or not","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","27746","false","8","kg","27746","false","27746","false","0","false","162382",,"162382","0","false","true",
"C","M","20230101","2023","1","202301","360","IDN","Indonesia","M","Import","410","KOR","Rep. of Korea","0","W00","World","H6","HS","true","2712","Petroleum jelly; paraffin wax, micro-crystalline petroleum wax, slack wax, ozokerite, lignite wax, peat wax, other mineral waxes, similar products obtained by synthesis, other processes; coloured or not","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","7780","false","8","kg","7780","false","7780","false","0","false","23684",,"23684","0","false","true",
"C","M","20230101","2023","1","202301","360","IDN","Indonesia","M","Import","458","MYS","Malaysia","0","W00","World","H6","HS","true","2712","Petroleum jelly; paraffin wax, micro-crystalline petroleum wax, slack wax, ozokerite, lignite wax, peat wax, other mineral waxes, similar products obtained by synthesis, other processes; coloured or not","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","514910","false","8","kg","514910","false","514910","false","0","false","521991",,"521991","0","false","true",
"C","M","20230101","2023","1","202301","360","IDN","Indonesia","M","Import","490","S19","Other Asia, nes","0","W00","World","H6","HS","true","2712","Petroleum jelly; paraffin wax, micro-crystalline petroleum wax, slack wax, ozokerite, lignite wax, peat wax, other mineral waxes, similar products obtained by synthesis, other processes; coloured or not","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","29924","false","8","kg","29924","false","29924","false","0","false","60366",,"60366","0","false","true",
"C","M","20230101","2023","1","202301","360","IDN","Indonesia","M","Import","528","NLD","Netherlands","0","W00","World","H6","HS","true","2712","Petroleum jelly; paraffin wax, micro-crystalline petroleum wax, slack wax, ozokerite, lignite wax, peat wax, other mineral waxes, similar products obtained by synthesis, other processes; coloured or not","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","13315","false","8","kg","13315","false","13315","false","0","false","37886",,"37886","0","false","true",
"C","M","20230101","2023","1","202301","360","IDN","Indonesia","M","Import","699","IND","India","0","W00","World","H6","HS","true","2712","Petroleum jelly; paraffin wax, micro-crystalline petroleum wax, slack wax, ozokerite, lignite wax, peat wax, other mineral waxes, similar products obtained by synthesis, other processes; coloured or not","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","36510","false","8","kg","36510","false","36510","false","0","false","103001",,"103001","0","false","true",
"C","M","20230101","2023","1","202301","360","IDN","Indonesia","M","Import","702","SGP","Singapore","0","W00","World","H6","HS","true","2712","Petroleum jelly; paraffin wax, micro-crystalline petroleum wax, slack wax, ozokerite, lignite wax, peat wax, other mineral waxes, similar products obtained by synthesis, other processes; coloured or not","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","919671","false","8","kg","919671","false","919671","false","0","false","388593",,"388593","0","false","true",
